,datetime,station_name,value_mwhd
0,2024-04-13 00:00:00,Block 07 Linz,139.0
1,2024-04-13 01:00:00,Block 07 Linz,139.0
2,2024-04-13 02:00:00,Block 07 Linz,139.0
3,2024-04-13 03:00:00,Block 07 Linz,139.0
4,2024-04-13 04:00:00,Block 07 Linz,138.0
5,2024-04-13 05:00:00,Block 07 Linz,138.0
6,2024-04-13 06:00:00,Block 07 Linz,130.0
7,2024-04-13 07:00:00,Block 07 Linz,138.0
8,2024-04-13 08:00:00,Block 07 Linz,141.0
9,2024-04-13 09:00:00,Block 07 Linz,140.0
10,2024-04-13 10:00:00,Block 07 Linz,138.0
11,2024-04-13 11:00:00,Block 07 Linz,138.0
12,2024-04-13 12:00:00,Block 07 Linz,140.0
13,2024-04-13 13:00:00,Block 07 Linz,136.0
14,2024-04-13 14:00:00,Block 07 Linz,141.0
15,2024-04-13 15:00:00,Block 07 Linz,141.0
16,2024-04-13 16:00:00,Block 07 Linz,143.0
17,2024-04-13 17:00:00,Block 07 Linz,143.0
18,2024-04-13 18:00:00,Block 07 Linz,142.0
19,2024-04-13 19:00:00,Block 07 Linz,138.0
20,2024-04-13 20:00:00,Block 07 Linz,136.0
21,2024-04-13 21:00:00,Block 07 Linz,140.0
22,2024-04-13 22:00:00,Block 07 Linz,140.0
23,2024-04-13 23:00:00,Block 07 Linz,140.0
24,2024-04-13 00:00:00,DO3,0.0
25,2024-04-13 01:00:00,DO3,0.0
26,2024-04-13 02:00:00,DO3,0.0
27,2024-04-13 03:00:00,DO3,0.0
28,2024-04-13 04:00:00,DO3,0.0
29,2024-04-13 05:00:00,DO3,0.0
30,2024-04-13 06:00:00,DO3,0.0
31,2024-04-13 07:00:00,DO3,0.0
32,2024-04-13 08:00:00,DO3,0.0
33,2024-04-13 09:00:00,DO3,0.0
34,2024-04-13 10:00:00,DO3,0.0
35,2024-04-13 11:00:00,DO3,0.0
36,2024-04-13 12:00:00,DO3,0.0
37,2024-04-13 13:00:00,DO3,0.0
38,2024-04-13 14:00:00,DO3,0.0
39,2024-04-13 15:00:00,DO3,0.0
40,2024-04-13 16:00:00,DO3,0.0
41,2024-04-13 17:00:00,DO3,0.0
42,2024-04-13 18:00:00,DO3,0.0
43,2024-04-13 19:00:00,DO3,0.0
44,2024-04-13 20:00:00,DO3,0.0
45,2024-04-13 21:00:00,DO3,0.0
46,2024-04-13 22:00:00,DO3,0.0
47,2024-04-13 23:00:00,DO3,0.0
48,2024-04-13 00:00:00,FHKW Mellach,0.0
49,2024-04-13 01:00:00,FHKW Mellach,0.0
50,2024-04-13 02:00:00,FHKW Mellach,0.0
51,2024-04-13 03:00:00,FHKW Mellach,0.0
52,2024-04-13 04:00:00,FHKW Mellach,0.0
53,2024-04-13 05:00:00,FHKW Mellach,0.0
54,2024-04-13 06:00:00,FHKW Mellach,0.0
55,2024-04-13 07:00:00,FHKW Mellach,0.0
56,2024-04-13 08:00:00,FHKW Mellach,0.0
57,2024-04-13 09:00:00,FHKW Mellach,0.0
58,2024-04-13 10:00:00,FHKW Mellach,0.0
59,2024-04-13 11:00:00,FHKW Mellach,0.0
60,2024-04-13 12:00:00,FHKW Mellach,0.0
61,2024-04-13 13:00:00,FHKW Mellach,0.0
62,2024-04-13 14:00:00,FHKW Mellach,0.0
63,2024-04-13 15:00:00,FHKW Mellach,0.0
64,2024-04-13 16:00:00,FHKW Mellach,0.0
65,2024-04-13 17:00:00,FHKW Mellach,0.0
66,2024-04-13 18:00:00,FHKW Mellach,0.0
67,2024-04-13 19:00:00,FHKW Mellach,0.0
68,2024-04-13 20:00:00,FHKW Mellach,0.0
69,2024-04-13 21:00:00,FHKW Mellach,0.0
70,2024-04-13 22:00:00,FHKW Mellach,0.0
71,2024-04-13 23:00:00,FHKW Mellach,0.0
72,2024-04-13 00:00:00,GDK-Mellach Linie 10,0.0
73,2024-04-13 01:00:00,GDK-Mellach Linie 10,0.0
74,2024-04-13 02:00:00,GDK-Mellach Linie 10,0.0
75,2024-04-13 03:00:00,GDK-Mellach Linie 10,0.0
76,2024-04-13 04:00:00,GDK-Mellach Linie 10,0.0
77,2024-04-13 05:00:00,GDK-Mellach Linie 10,0.0
78,2024-04-13 06:00:00,GDK-Mellach Linie 10,0.0
79,2024-04-13 07:00:00,GDK-Mellach Linie 10,0.0
80,2024-04-13 08:00:00,GDK-Mellach Linie 10,0.0
81,2024-04-13 09:00:00,GDK-Mellach Linie 10,0.0
82,2024-04-13 10:00:00,GDK-Mellach Linie 10,0.0
83,2024-04-13 11:00:00,GDK-Mellach Linie 10,0.0
84,2024-04-13 12:00:00,GDK-Mellach Linie 10,0.0
85,2024-04-13 13:00:00,GDK-Mellach Linie 10,0.0
86,2024-04-13 14:00:00,GDK-Mellach Linie 10,0.0
87,2024-04-13 15:00:00,GDK-Mellach Linie 10,0.0
88,2024-04-13 16:00:00,GDK-Mellach Linie 10,0.0
89,2024-04-13 17:00:00,GDK-Mellach Linie 10,0.0
90,2024-04-13 18:00:00,GDK-Mellach Linie 10,0.0
91,2024-04-13 19:00:00,GDK-Mellach Linie 10,0.0
92,2024-04-13 20:00:00,GDK-Mellach Linie 10,0.0
93,2024-04-13 21:00:00,GDK-Mellach Linie 10,0.0
94,2024-04-13 22:00:00,GDK-Mellach Linie 10,0.0
95,2024-04-13 23:00:00,GDK-Mellach Linie 10,0.0
96,2024-04-13 00:00:00,GDK-Mellach Linie 20,0.0
97,2024-04-13 01:00:00,GDK-Mellach Linie 20,0.0
98,2024-04-13 02:00:00,GDK-Mellach Linie 20,0.0
99,2024-04-13 03:00:00,GDK-Mellach Linie 20,0.0
100,2024-04-13 04:00:00,GDK-Mellach Linie 20,0.0
101,2024-04-13 05:00:00,GDK-Mellach Linie 20,0.0
102,2024-04-13 06:00:00,GDK-Mellach Linie 20,0.0
103,2024-04-13 07:00:00,GDK-Mellach Linie 20,0.0
104,2024-04-13 08:00:00,GDK-Mellach Linie 20,0.0
105,2024-04-13 09:00:00,GDK-Mellach Linie 20,0.0
106,2024-04-13 10:00:00,GDK-Mellach Linie 20,0.0
107,2024-04-13 11:00:00,GDK-Mellach Linie 20,0.0
108,2024-04-13 12:00:00,GDK-Mellach Linie 20,0.0
109,2024-04-13 13:00:00,GDK-Mellach Linie 20,0.0
110,2024-04-13 14:00:00,GDK-Mellach Linie 20,0.0
111,2024-04-13 15:00:00,GDK-Mellach Linie 20,0.0
112,2024-04-13 16:00:00,GDK-Mellach Linie 20,0.0
113,2024-04-13 17:00:00,GDK-Mellach Linie 20,0.0
114,2024-04-13 18:00:00,GDK-Mellach Linie 20,0.0
115,2024-04-13 19:00:00,GDK-Mellach Linie 20,0.0
116,2024-04-13 20:00:00,GDK-Mellach Linie 20,0.0
